ekasetiyasih783,"Tampilan:baik
Warna:mustard

Bajunya sweat,, realpict .. bagus bgt pokoknya ğŸ˜ğŸ˜",1
isti2563,"Tampilan:bagus
Warna:fanta

Bagus sebenarnya , ada kantong kanan kiri , tapi kependekan sama aku .. sedih ğŸ¥²",1
han_dri,"Tampilan:bagus
Warna:real pic

Ternyata agak pendek dikit dressnya, jahitan rapi, recommended",1
stevensadana,"Tampilan:ok
Warna:sage green

Ok lah dngn hrga segitu tp sayang nya krng panjang aja",1
siti102022,"Tampilan:bagus..bahan tebal
Warna:lemon

Kualitas oke bahan tebal cantik",1
a*****_,"Tampilan:sesuai gambar
Warna:sage green

Ada katong nya lumaya ya untum harga segini",1
rainisisisia,"Tampilan:bagus
Warna:bagus

Bagus bgt cmn agak pendek tp gpp tidk mengurangi bagus nya",1
x163oxrkpt,"Tampilan:baik

Bagus baju nya cm kurang panjang aja badan nya",1
s1o0ymytjv,,1
putrigistiano19,Tampilan:bahannya  sesuai lah harga 20ribuan,-1
kekeimron96,"Tampilan:bgus
Warna:pink

Bgus",1
rizkanamoza,"Maaf y sblumnya,Kirain kaya toko sblumnya aq beli,mw coba toko deket eh ga sesuai kaya baju untuk anak2, padahal mw jd langganan,,nyesel,,baju nya aq kasih orng",0
laila_ratnawati,"Warna:tdk sesuai dng yg diposting diberanda, agak kecewa sih, tapi ush terlanjur dipesan",-1
lela.yulyanti,"Kecewa di gambar bahan cringkle,, datang bahan ny kaya gitu",0
trinovi12,"Tampilan:baik..seksi
Warna:navy..mint",1
akangamin,Tampilan:bahan foxsy lumayan lah gak nerawang,1
miramira681,Tampilan:mantap sdh baju nya,1
o7tybje_zs,Tampilan:bagus baget sesui d foto,0
septikarla94,Bagus dgn harga segitu tapi syang kepedekan,1
vhily4,"Tampilan:Bagus
Warna:sesuai",1
lilis_nova,"Tampilan:bagus
Warna:lime",1
noviantyandhari,Ukuran body pas tpi kependean,1
sandirosa,"Tampilan:jelek
Warna:ok",-1
glo1704,"Pas untuk Acara:bagus
Kualitas:bagus

Bagus banget baju nyaa, harga murah tapi gak murahan . Next pesan warna lain. Makasih yaa kakak, sukses selalu â¤ï¸â¤ï¸â¤ï¸",1
icharahayu712,"Saran Tampilan:ckp baik
Kualitas:lumayan

D kira iya bahan cringkel yg halus lmbut..ni bahan ny lumayan aga gerah...lumayan lah buat sntaiÂ² dn tdr mha...",1
s*****z,"Bagus banget bajunya, murah lagi,, tapi sayang di pake di aku terlalu pendekğŸ˜ tapi nggak apaâ€ overall bagus semuanya,, next order lagi",1
i45kv2560b,"Kenyamanan:pas dibadan aku
Saran Tampilan:kurang panjang sedikit

Cocok dipakai sore hari,, suka sama modelnya,",1
auraazry,"Saran Tampilan:ok
Kualitas:ok
Styling:ok

Pokonya ok lahğŸ‘",1
bundapuspa262,"Saran Tampilan:bagus
Styling:bagus buat ke mall
Sepadan dengan Uang:sesuai dengan harga",1
mariamarbun850,"Pas untuk Acara:lbh ke santai sich
Saran Tampilan:baguss

Aku kira bakal agak pnjng pdhl pndk bngt",1
zd3tl_8zrm,"Styling:bagus
Kenyamanan:kurang karna kependekan
Kualitas:baik",1
ilasyafira25,"Saran Tampilan:cantik ,,dasternya
Kualitas:tebal
Sepadan dengan Uang:harga murah tapi kualitas nya bagus",1
yudithaanggraini,"Kualitas:bgus
Styling:bagus
Pas untuk Acara:untuk bocan",1
norhasanah9,"Saran Tampilan:modis
Kenyamanan:sedang
Sepadan dengan Uang:bagus buat harga semurah itu

Sayang jasa kirim nya lama sekali nyampe ..kurir nya baik dan ramah ğŸ˜Š",1
childawidiyas,Kualitas:lumayan bagus ka buat harga segitu  aq suka,1
annmaryn_,"Tampilan:dres
Warna:navy

Udh diterima, pengiriman cepet. Agak kependekan tapi gpp sedenglah.jaitan dan bahan cukup bagus.",1
1oabsjwbanwvwnavdyatisayur,ğŸ™ğŸ™ seler.  Aku suka.  Pengiriman biasa.    Kualitas okhe lahğŸ˜ğŸ‘â¤ï¸,1
nurhayatiasyifa637,Tampilan:bahan sesuai pesan nya celana datang nya rok tidak amanah,-1
epungserva,Gjeas bangtbsiii ulasan udh di terimanya barang ya Lom di terima aneh,-1
fitriaja558,"Tampilan:ok
Warna:ok

Maaf ya mbak bhnnya oke. . Cma klo tuk dress pendek bgtzz mbak gk bs d pke. . Paling pakai sama kyak pakai baju kaos. . .",1
